instance algorithm localsearch alpha beta rho ants q0 rasrank elitistants nnls dlb val
121 eas 0 3.63 5.87 0.8 71 NA NA 698 NA NA 42001474
121 eas 1 0.35 1.75 0.59 48 NA NA 411 13 1 34663797
121 acs 3 0.1 8.88 0.94 39 0.4 NA NA 40 1 33142494
121 eas 0 0.94 9.07 0.47 14 NA NA 277 NA NA 38429350
121 eas 1 4.52 0.62 0.91 48 NA NA 671 46 0 34276544
121 as 2 2.26 7.8 0.05 75 NA NA NA 41 0 33233183
121 mmas 3 1.21 1.06 0.53 26 NA NA NA 20 0 33018831
121 eas 2 2.12 7.71 0.9 100 NA NA 308 39 0 32723054
121 mmas 1 4.56 9.21 0.08 67 NA NA NA 47 1 33401549
121 as 0 4.21 4.02 0.15 79 NA NA NA NA NA 38040753
121 acs 3 1.4 8.06 0.84 99 0.63 NA NA 5 1 33669464
121 as 2 4.2 7.25 0.63 70 NA NA NA 12 0 33112134
121 mmas 0 3.56 0.81 0.19 30 NA NA NA NA NA 55273119
121 eas 0 3.98 3.01 0.04 73 NA NA 345 NA NA 47124408
121 mmas 0 2.75 7.48 0.4 34 NA NA NA NA NA 38175596
121 eas 0 3.37 3.21 0.39 81 NA NA 329 NA NA 47521843
121 eas 1 3.24 6.71 0.15 9 NA NA 585 17 1 33180053
121 eas 0 1.52 6.15 0.61 8 NA NA 596 NA NA 41597279
121 mmas 1 2.9 5.74 0.29 12 NA NA NA 33 1 32646197
121 acs 1 1.95 7.2 0.02 68 0.04 NA NA 18 1 34005585
121 as 0 5.0 1.46 0.5 36 NA NA NA NA NA 42774601
121 as 1 2.03 7.29 0.98 29 NA NA NA 44 0 33589449
121 eas 3 0.52 1.26 0.88 26 NA NA 35 12 1 33363087
121 ras 3 1.73 7.95 0.09 42 NA 29 NA 35 1 33032128
121 eas 2 1.75 6.45 0.75 44 NA NA 413 46 0 32849270
121 eas 0 1.59 2.47 0.75 10 NA NA 17 NA NA 44591966
121 as 3 1.08 5.24 0.14 69 NA NA NA 20 0 32939976
121 acs 2 2.8 2.09 0.24 72 0.91 NA NA 28 0 32808262
121 eas 3 3.3 7.47 0.85 19 NA NA 520 24 1 33020126
121 acs 1 1.58 6.13 0.09 70 0.26 NA NA 36 1 33725057
121 as 2 4.72 9.76 0.96 63 NA NA NA 19 1 33209104
121 as 3 4.27 1.61 0.23 80 NA NA NA 10 1 32711554
121 ras 2 3.25 1.36 0.13 60 NA 100 NA 10 1 33021930
121 eas 2 2.06 0.0 0.23 59 NA NA 381 17 0 33238462
121 as 0 3.43 1.78 0.45 16 NA NA NA NA NA 42398463
121 mmas 0 2.57 9.31 0.49 82 NA NA NA NA NA 37801255
121 mmas 0 2.96 4.75 0.17 71 NA NA NA NA NA 38970710
121 as 0 2.27 6.29 0.4 19 NA NA NA NA NA 38486007
121 eas 2 4.93 0.42 0.64 41 NA NA 379 6 1 33942238
121 mmas 0 2.8 5.94 0.24 97 NA NA NA NA NA 38632776
121 acs 3 2.7 4.55 0.37 11 0.13 NA NA 23 1 32601221
121 as 3 0.21 1.2 0.87 83 NA NA NA 41 1 33367349
121 ras 0 2.9 7.76 0.76 66 NA 10 NA NA NA 37481988
121 ras 2 0.89 9.8 0.76 99 NA 38 NA 24 1 33575263
121 eas 1 2.26 7.44 0.67 88 NA NA 739 39 0 32979145
121 ras 2 1.83 4.18 0.55 89 NA 71 NA 10 1 33323589
121 ras 3 4.64 0.37 0.68 64 NA 19 NA 24 0 32750122
121 mmas 0 2.37 8.26 0.3 58 NA NA NA NA NA 38027323
121 eas 0 4.31 8.58 0.9 50 NA NA 114 NA NA 39645554
121 as 1 4.83 1.98 0.58 12 NA NA NA 35 0 33132397
121 ras 0 1.73 9.39 0.5 7 NA 49 NA NA NA 39273161
121 mmas 0 3.26 8.72 0.55 75 NA NA NA NA NA 38589852
121 as 2 2.5 2.0 0.23 95 NA NA NA 25 1 33130569
121 acs 2 2.55 0.8 0.97 27 0.64 NA NA 12 0 32775582
121 eas 0 4.77 5.21 0.96 33 NA NA 352 NA NA 43355786
121 as 2 4.48 6.9 0.06 56 NA NA NA 12 0 33255507
121 ras 1 2.75 6.62 0.73 91 NA 11 NA 8 1 33499561
121 as 0 1.87 0.28 0.35 50 NA NA NA NA NA 58304463
121 as 0 2.49 5.56 0.1 79 NA NA NA NA NA 37652169
121 as 0 1.95 6.73 0.61 6 NA NA NA NA NA 38982876
121 acs 0 0.01 5.24 0.57 70 0.05 NA NA NA NA 42830323
121 as 3 1.28 8.31 0.17 30 NA NA NA 48 1 33061144
121 acs 1 0.69 3.57 0.2 88 0.83 NA NA 14 0 33704717
121 ras 1 4.27 1.09 0.62 26 NA 92 NA 43 0 33375875
121 mmas 1 0.52 3.14 0.43 40 NA NA NA 11 1 34167781
121 acs 3 4.7 9.19 0.85 82 0.87 NA NA 38 1 32797923
121 mmas 1 1.19 5.45 0.86 69 NA NA NA 49 0 32707725
121 eas 0 1.11 6.28 0.94 54 NA NA 9 NA NA 39188709
121 acs 3 2.52 3.2 0.66 93 0.06 NA NA 16 0 32906415
121 ras 3 0.88 3.25 0.85 76 NA 24 NA 31 0 33036383
121 ras 2 3.2 5.52 0.34 52 NA 4 NA 18 0 32986579
121 as 0 2.07 3.98 0.87 71 NA NA NA NA NA 38473920
121 ras 0 1.87 3.6 0.13 14 NA 3 NA NA NA 39845606
121 mmas 0 2.84 8.42 0.53 37 NA NA NA NA NA 38983481
121 eas 1 2.8 7.49 0.26 16 NA NA 721 50 0 33168177
121 as 3 1.78 7.66 0.27 79 NA NA NA 30 1 33011248
121 eas 1 0.48 3.48 0.81 68 NA NA 517 25 1 34199995
121 mmas 0 0.92 3.49 0.79 34 NA NA NA NA NA 41747376
121 as 0 3.53 4.33 0.81 87 NA NA NA NA NA 38804956
121 acs 2 0.58 9.62 0.39 7 0.88 NA NA 5 0 33733542
121 ras 1 5.0 2.1 0.94 10 NA 45 NA 39 1 34493524
121 acs 0 2.75 3.55 0.92 82 0.91 NA NA NA NA 38409225
121 eas 2 2.04 5.19 0.29 61 NA NA 719 13 1 32960555
121 mmas 0 1.76 5.33 0.01 81 NA NA NA NA NA 42753070
121 acs 0 3.05 5.05 0.2 81 0.2 NA NA NA NA 41815314
121 mmas 3 1.58 1.19 0.06 89 NA NA NA 14 0 33327437
121 as 0 4.94 6.19 0.3 45 NA NA NA NA NA 38209210
121 eas 3 1.21 5.2 0.51 72 NA NA 431 11 1 32740901
121 acs 2 2.27 1.76 0.68 5 0.46 NA NA 9 1 32706093
121 ras 1 1.2 3.65 0.07 100 NA 78 NA 27 1 33948338
121 mmas 0 0.92 0.97 0.66 91 NA NA NA NA NA 55718669
121 ras 2 0.45 9.7 0.57 23 NA 31 NA 45 1 33635910
121 eas 0 3.29 7.12 0.06 57 NA NA 386 NA NA 40484156
121 eas 0 2.93 7.81 0.27 10 NA NA 374 NA NA 41404695
121 acs 1 1.11 4.82 0.84 82 0.62 NA NA 7 0 33867958
121 ras 2 2.13 7.05 0.65 98 NA 76 NA 43 1 33372379
121 as 1 1.6 9.88 0.43 24 NA NA NA 36 0 33733568
121 acs 0 3.78 3.82 0.92 19 0.81 NA NA NA NA 39267350
121 mmas 1 4.5 0.42 0.92 48 NA NA NA 18 0 34407117
121 acs 0 2.63 3.35 0.75 11 0.97 NA NA NA NA 38180267
121 as 1 1.84 7.18 0.23 73 NA NA NA 27 0 33642072
121 acs 3 0.1 2.19 0.81 46 0.54 NA NA 42 1 33297592
121 mmas 1 4.89 9.86 0.14 60 NA NA NA 32 1 33071079
121 acs 1 3.27 1.37 0.39 87 0.78 NA NA 12 1 33851367
121 ras 3 0.96 7.35 0.6 18 NA 14 NA 9 1 33067917
121 eas 1 3.37 5.01 0.38 82 NA NA 447 9 0 33151232
121 as 2 3.62 5.64 0.08 79 NA NA NA 5 0 33564571
121 acs 1 4.5 2.02 0.26 11 0.18 NA NA 7 1 33132610
121 ras 3 4.37 5.24 0.51 15 NA 70 NA 35 1 32607877
121 acs 0 0.5 5.85 0.42 65 0.77 NA NA NA NA 38603941
121 as 1 2.68 4.86 0.07 60 NA NA NA 14 1 33684914
121 mmas 0 0.39 6.26 0.64 19 NA NA NA NA NA 39464531
121 eas 3 0.47 6.47 0.18 45 NA NA 67 21 1 33093586
121 ras 0 1.47 9.93 0.69 45 NA 66 NA NA NA 39066349
121 ras 0 4.0 8.57 0.25 55 NA 61 NA NA NA 38121902
121 as 3 2.81 2.31 0.19 47 NA NA NA 5 0 33096358
121 mmas 3 0.68 2.15 0.04 33 NA NA NA 19 1 33403465
121 acs 0 2.62 4.83 0.02 6 0.22 NA NA NA NA 40696019
121 eas 1 4.26 7.76 0.85 57 NA NA 455 37 0 33408351
121 ras 1 4.78 9.46 0.38 13 NA 45 NA 16 1 33293684
121 ras 0 4.39 1.17 0.6 95 NA 90 NA NA NA 41557498
121 mmas 1 0.81 9.59 0.75 7 NA NA NA 12 1 33645112
