instance ASCENT_CANDIDATES BACKBONE_TRIALS BACKTRACKING CANDIDATE_SET_TYPE EXTRA_CANDIDATES EXTRA_CANDIDATE_SET_TYPE GAIN23 GAIN_CRITERION INITIAL_STEP_SIZE INITIAL_TOUR_ALGORITHM KICK_TYPE KICKS MAX_CANDIDATES MOVE_TYPE PATCHING_A PATCHING_C POPULATION_SIZE RESTRICTED_SEARCH SUBGRADIENT SUBSEQUENT_MOVE_TYPE SUBSEQUENT_PATCHING result
121 250 4 NO ALPHA 18 QUADRANT YES YES 4 BORUVKA 8 5 17 19 19 4 551 YES NO 0 YES 38927122
121 198 4 YES QUADRANT 8 NEAREST-NEIGHBOR YES YES 3 WALK 17 1 13 6 15 1 893 YES NO 5 YES 32679573
121 267 4 YES ALPHA 4 NEAREST-NEIGHBOR NO YES 3 BORUVKA 18 2 6 5 20 1 288 YES NO 6 NO 32340117
121 119 0 NO ALPHA 5 NEAREST-NEIGHBOR YES YES 3 GREEDY 10 5 9 15 6 5 981 NO NO 0 YES 37559630
121 56 1 NO ALPHA 14 QUADRANT YES NO 5 BORUVKA 14 2 16 20 17 5 885 YES NO 3 NO 39203973
121 334 1 NO ALPHA 16 QUADRANT YES NO 3 MOORE 9 1 19 19 11 3 506 YES NO 0 YES 42973133
121 215 1 NO QUADRANT 4 NEAREST-NEIGHBOR YES YES 5 QUICK-BORUVKA 5 4 18 9 20 2 310 NO NO 5 YES 33245620
121 42 1 YES DELAUNAY 3 QUADRANT YES YES 2 BORUVKA 20 4 9 4 20 4 70 YES NO 6 YES 32302623
121 94 4 NO QUADRANT 14 NEAREST-NEIGHBOR NO NO 3 NEAREST-NEIGHBOR 6 2 18 11 7 5 573 YES NO 3 NO 39514835
121 439 0 NO DELAUNAY 13 NEAREST-NEIGHBOR NO YES 4 SIERPINSKI 15 3 13 13 13 5 612 YES NO 3 NO 41414295
121 258 2 YES QUADRANT 2 QUADRANT NO NO 1 GREEDY 10 5 17 12 11 2 605 NO NO 4 YES 34387706
121 479 5 NO ALPHA 16 NEAREST-NEIGHBOR NO NO 2 BORUVKA 6 1 15 13 5 4 996 YES NO 5 YES 38031655
